|           id           |                                                  name                                                   |  tempo  |
| 0HEytGQM3bG1vKxER7IgVK | Spotless (feat. The Lumineers)                                                                          | 72.129  |
| 5SyCD1ic378B4rYWhDmuvo | raindrops (an angel cried) - live                                                                       | 72.138  |
| 5XsAal7ZcWg1I5T4NcRjkv | Halley''s Comet                                                                                         | 72.38   |
| 4ueTr01dkL360w1knfh21C | Oklahoman Son                                                                                           | 72.401  |
| 1sHRnn8zuTMusee3ahseXC | Wonder Woman                                                                                            | 72.851  |
| 2LseyBkPJv7r7wCt2yMEgX | High                                                                                                    | 72.995  |
| 171WZ8005jWCCvrefjPNxM | Texas Reznikoff                                                                                         | 73.017  |
| 3Eu47MEKQ27HOIonzTgB0e | A Horse Named Cold Air                                                                                  | 73.239  |
| 61fROeJfnI3OtNQYMpN1gT | The Weekend                                                                                             | 73.313  |
| 6gU9OKjOE7ghfEd55oRO57 | The Weekend                                                                                             | 73.313  |
| 5ijSUALHfNot7KSafyLI4E | Star                                                                                                    | 73.362  |
| 3VLN518tJqkt9ssNUalspi | T-Bup                                                                                                   | 73.375  |
| 5JZxqaKy1KYKSMz8zpouvi | FORZA FREESTYLE                                                                                         | 73.509  |
| 0ErlDM57zcNICYiNapySLC | King of Everything                                                                                      | 73.544  |
| 1lFy7Wy8KzUYIDyIuWpQWA | It''s Just Its Nature                                                                                   | 73.67   |
| 29rCVMNfJdNbxTnupxELjf | just like me - slowed down                                                                              | 73.694  |
| 7zLMYtNJcabv4h4wBnjNQI | M3tamorphosis (feat. Kid Cudi)                                                                          | 73.933  |
| 0PL9SMlJwL5f2Dv1JWOO60 | Anita - Part Two                                                                                        | 73.978  |
| 6CagMrZXJUdGGIw6Eaepos | Exhale                                                                                                  | 74.009  |
| 7fP5XHTX3hbR3g7TY8WtcW | I Do (feat. Slimwav)                                                                                    | 74.029  |
| 3LgWsmilsrWXiPYQFRD0T7 | goodbye                                                                                                 | 74.318  |
| 1JFeZSazt9XiyT2Pnusnm3 | Pajamas                                                                                                 | 74.467  |
| 11UOOhOsF9Ki1nvEC3PZ37 | Dan the Dancer                                                                                          | 74.783  |
| 6qoIFQfdmaQF9A1gb67tR7 | Ocean                                                                                                   | 74.93   |
| 6e0Gfl49FN9m2c8QaB9vFr | Look Back & Laugh                                                                                       | 74.938  |
| 4SZepBIPDRwPaHIjAKwRDb | R.I.P. SCREW                                                                                            | 74.946  |
| 4191RXFPa7Ge9XkA4cWlna | Lost Cause                                                                                              | 74.966  |
| 1uQ1TZ9YIWCtBTgq09uoix | Up And Down                                                                                             | 74.979  |
| 4uTvPEr01pjTbZgl7jcKBD | NASA                                                                                                    | 75.029  |
| 5CQXesQM39J0CBnY0Npp6S | BICHOTAG                                                                                                | 75.029  |
| 6Vz73JS65SbTUr046H1Hmr | LVCC                                                                                                    | 75.034  |
| 4EN1lLc3xt2hOazpC4LabP | Sexyy Walk                                                                                              | 75.06   |
| 5xqWDPl8cIohnCaRBwiuwa | Sexyy Walk                                                                                              | 75.096  |
| 5UY8jf31X2hJkiAualFTyh | Selfish                                                                                                 | 75.217  |
| 6sRmaXQZo0EK2woVn2COxM | Effortlessly                                                                                            | 75.276  |
| 5NaWkrOw239uQbqb9zeUk4 | la luna enamorada                                                                                       | 75.293  |
| 2nDLZMuPMvHzNtUY2e7nV3 | la luna enamorada                                                                                       | 75.293  |
| 3UC8vzNi4oELxLnEBhT0SM | I Designed It                                                                                           | 75.306  |
| 25slfam4hSlxMGpjQnWHd0 | Looking For The Hoes (Ain’t My Fault)                                                                   | 75.511  |
| 7pas6O1LYbaeChEFQBhPFU | coordinate                                                                                              | 75.615  |
| 0LMgOEJZ5KmNmqcYv22bpJ | Room for 2                                                                                              | 75.761  |
| 4isCUHcZJs0o8niODly6qc | Room for 2                                                                                              | 75.761  |
| 1WiQQafzjfgyXrtb61Y6uv | Present Without A Bow - From The Kacey Musgraves Christmas Show                                         | 75.817  |
| 1w17Cv2Q2cbyoN8HZrX4Da | Washington Lilacs                                                                                       | 75.897  |
| 2Q0aElTZQtEUsoiaQfizu6 | PARASAIL (feat. Yung Lean & Dave Chappelle)                                                             | 75.923  |
| 6aP62822amG9iAvSIPffBr | She''s Not Him                                                                                          | 75.945  |
| 1udwFobQ1JoOdWPQrp2b6u | Surround Sound (feat. 21 Savage & Baby Tate)                                                            | 75.956  |
| 3kcUoU48aEhdnwTidKzd9k | Bussdown (feat. Kodak Black)                                                                            | 75.994  |
| 4jkikgyrlBMR4Fj3d1s4jT | nasa - live                                                                                             | 76.002  |
| 15sNe8FD178zMsVz6ug0AS | Gun                                                                                                     | 76.004  |
| 1bXm6XU3SYSqQGLTRhUSfm | hate myself                                                                                             | 76.01   |
| 540VOu1aQ9TqENgWAC82Rz | NO SALGO                                                                                                | 76.01   |
| 1JgkiUg9mSXSwcb5Gbi4Ur | Lean 4 Real (feat. Skepta)                                                                              | 76.01   |
| 0Pj9cTJcWbrDPjtCKx4Ody | Present Without A Bow                                                                                   | 76.017  |
| 6RQ5IwG7uADz9LDWliJGjU | Special                                                                                                 | 76.134  |
| 4yreExU3eRNTe2iJz6X6k3 | american dream                                                                                          | 76.169  |
| 6ZGoFntcQUWTPGGQPQmecY | Kody Blu 31                                                                                             | 76.184  |
| 0LcsvJQSFIQo3RjNhPcYqT | Luv Is Dro (feat. Static Major & Bryson Tiller)                                                         | 76.211  |
| 2sw2SkvZ1AEBHq4NK9qfQI | redrum - slowed down                                                                                    | 76.43   |
| 5fSZXFOZfPVW9gvnnG4ZVW | Punk Monk                                                                                               | 76.444  |
| 1Y7tMWKvFZLCpoX0SINyhP | Normal Girl                                                                                             | 76.453  |
| 5fQBa4wkmq28xpSLOQ202K | Normal Girl                                                                                             | 76.453  |
| 4HnVzg7n6aIPV7TCGRMR6k | Cannon Beach                                                                                            | 76.497  |
| 17o747C5ZZ3UnAg0zNBjOW | Fireworks                                                                                               | 76.583  |
| 1IVnvJN9oC3pDYv9qpAnj7 | needy - live                                                                                            | 76.592  |
| 51HurwUcQOP7DaGR4ORYZ3 | The View Between Villages                                                                               | 76.643  |
| 3EvZ03hGAFwGZ2Ebcu86YH | Tourniquet                                                                                              | 76.703  |
| 2QRvliBEcGIEgTrjVfxmXo | True Colors                                                                                             | 76.73   |
| 6Otmq7JokHh38wKSqUimcS | Tradesman                                                                                               | 76.77   |
| 1RMvRv1tAvWXgYdH8DUdLX | balance (mufasa interlude)                                                                              | 76.796  |
| 4rHZZAmHpZrA3iH5zx8frV | Mirrors                                                                                                 | 76.899  |
| 6QT6j7rKt7Vk3IuV2AUO9W | lacy                                                                                                    | 76.967  |
| 76gcXhY3Zv6wW0BTe9nHJo | TIL FURTHER NOTICE (feat. James Blake & 21 Savage)                                                      | 76.985  |
| 6dpLxbF7lfCAnC9QRTjNLK | Home                                                                                                    | 77.002  |
| 2HzPCR7K0RR8nutu3l3QtN | I Don''t Do Drugs (feat. Ariana Grande)                                                                 | 77.014  |
| 0FFsgUoFibYISzMxuGS61W | I Don''t Do Drugs (feat. Ariana Grande)                                                                 | 77.014  |
| 5wPyd3IQAZft1vmxoIqGrU | Home (KOD)                                                                                              | 77.015  |
| 7g5qe8VITjr13RIe8uM2p6 | Your Best American Girl                                                                                 | 77.021  |
| 2h8BoFJxiCmGqsGmIQKkB0 | Dangerous                                                                                               | 77.248  |
| 4SJKEysIMoT28vPDCrWutO | Dangerous                                                                                               | 77.248  |
| 1zejeOnykpCoyVSit6Bwp3 | hope ur ok                                                                                              | 77.253  |
| 0CNJcM33kvWE8v26wBy9wB | The Deal                                                                                                | 77.322  |
| 4sUWh0WAFyla5vjEYRrIGz | Look At Her Now                                                                                         | 77.342  |
| 7eOkHIcaoUhngxxypM5Ajr | Look At Her Now                                                                                         | 77.342  |
| 7zoZd2MuTaQEdF1rlq6Vv1 | Like That Bitch                                                                                         | 77.435  |
| 0CZoSoAllUFTszQ1rFonmo | Hellcats SRTs                                                                                           | 77.459  |
| 6fSvz9yrQY407xmr7cdjuA | Party Monster                                                                                           | 77.485  |
| 6eLY5NX9HkvAtrvRrPOW0F | Poppin                                                                                                  | 77.509  |
| 7j8vHxTp34MEoSDLG51sWo | Slick Talk                                                                                              | 77.511  |
| 2SJgwPonGSJlFm0Wfjn8cj | No R&B                                                                                                  | 77.513  |
| 3c3XyNDlGm6607OfqGyBHa | new lesson (timon, pumbaa & young simba interlude)                                                      | 77.539  |
| 4hpYhZhGn6JyUv62qpu2WP | El 08 - En Vivo                                                                                         | 77.55   |
| 0xaFw2zDYf1rIJWl2dXiSF | Open Arms (feat. Travis Scott)                                                                          | 77.559  |
| 4KULAymBBJcPRpk1yO4dOG | I Remember Everything (feat. Kacey Musgraves)                                                           | 77.639  |
| 1jD0Afw4PX2hJ4Uj5Agbr5 | Día de Cobro                                                                                            | 77.796  |
| 1eEkdfewhsze9GKGjd458r | Breathwork - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020                           | 77.815  |
| 11pEKMLmavDu8fxOB5QjbQ | Pipe Down                                                                                               | 77.837  |
| 5ZyQqAgrPr0cVm0VfM69Np | Can''t Wait                                                                                             | 77.908  |
| 4UQR7HUa8ARNn8zxWN49zD | Desahogate                                                                                              | 77.91   |
| 6HusxhZMI7yixRbNR5tibd | In The Stars - Live Version                                                                             | 77.929  |
| 7AbqgE05nFl9qY4FRUiq2p | Shot Glass of Tears                                                                                     | 77.955  |
| 5aKqhRdBmC5Qp2c3oek9ft | Right There (feat. Big Sean)                                                                            | 77.974  |
| 71BqAINEnezjQfxE4VuJfq | ''''Slut!'''' (Taylor''s Version) (From The Vault)                                                      | 77.983  |
| 6N7FFwu2DQer3wB7rEmm6u | From a Lover''s Point of View                                                                           | 77.99   |
| 0zo975x58DlXbZllWvfYhg | When Emma Falls in Love (Taylor’s Version) (From The Vault)                                             | 78.133  |
| 6wf7Yu7cxBSPrRlWeSeK0Q | What Was I Made For? [From The Motion Picture ''''Barbie'''']                                           | 78.403  |
| 5050y1NZdlMdTKMLNWv4nl | Money                                                                                                   | 78.409  |
| 2YI8oiiImLkZvVgP33xrjD | Kiss Land - Live                                                                                        | 78.41   |
| 3I1iAdgSIR0HvDRVXmQ2RC | The Shit                                                                                                | 78.414  |
| 6fvTWR1Fy5cpakr9NdRFhx | Cold Blooded                                                                                            | 78.449  |
| 59J5nzL1KniFHnU120dQzt | wokeuplikethis*                                                                                         | 78.477  |
| 475jSz0H6U3duJyNiDS0tT | Right Now (feat. Pi''erre Bourne)                                                                       | 78.487  |
| 38lNQQzolUE5hjDI73ndCX | Blindness                                                                                               | 78.519  |
| 1W6lpXe6E7GvntssrJJSLM | Man Thats Never Known You                                                                               | 78.672  |
| 2QfX9Pdz3q66fN3kCXl0Js | Revival                                                                                                 | 78.846  |
| 0G6ExlA2fcJIDGoayswUNT | All Bad                                                                                                 | 78.881  |
| 7hJvx1rJTUsKUngnHdBuir | General                                                                                                 | 78.909  |
| 4E6s2aBCZuoHdo2ADKmX1R | Un Suspiro - En Vivo                                                                                    | 78.98   |
| 6knNhL3mIaackJvtjmUrfN | Party Monster - Live                                                                                    | 78.987  |
| 0YPPnLR3TS4ZIAKCQOLZhK | Wavy (Interlude) (feat. James Fauntleroy)                                                               | 78.99   |
| 3LcoHjgdNl4xtWVaJGSA1p | Wavy (Interlude) (feat. James Fauntleroy)                                                               | 78.99   |
| 0lZl5lBCB5eyc3BDGTteEU | Future                                                                                                  | 79.005  |
| 4pCbJC43j3gSqG6Fen6upD | Hey Driver (feat. The War and Treaty)                                                                   | 79.014  |
| 23unRZj47x3Djas2c14w0A | Hey Driver                                                                                              | 79.014  |
| 7vUsjNqCN1sznd5xd7VpKB | Looking For Mercy                                                                                       | 79.019  |
| 1dKXBUKx7oCB2UXlkihNn8 | 8am in Charlotte                                                                                        | 79.043  |
| 0w3Mfe4PIVjuFjJbe3OlYv | 8am in Charlotte                                                                                        | 79.043  |
| 5bARj22nURPaa84RvmOMP0 | Hot Box (feat. Method Man & Joey Bada$$)                                                                | 79.202  |
| 431r2Qg4I2qFIKdSFCJN4s | Low Life - Live                                                                                         | 79.349  |
| 4GeyPGMzh6VwdNcaCufY9f | God Speed                                                                                               | 79.385  |
| 59KOoHFcw5XfICnO57holu | Last Kiss (Taylor''s Version)                                                                           | 79.401  |
| 32QPd5jB0qI9Uo5YVGKBLZ | Moon in Oklahoma                                                                                        | 79.483  |
| 7MjS7SoRzn8VXajFdV3t04 | right there - live                                                                                      | 79.514  |
| 3OBXZXFYDouFlKdlFO6NLC | Codeine Pills - Part One                                                                                | 79.522  |
| 19xcq1tmG0Pch6GpINW6jC | Producto de La - En Vivo                                                                                | 79.548  |
| 5ONOlTiqymhzwcFjqcIT6E | Hate You                                                                                                | 79.595  |
| 1otG6j1WHNvl9WgXLWkHTo | After The Storm (feat. Tyler, The Creator & Bootsy Collins)                                             | 79.64   |
| 45ypYpAdgoneWcBT0Wba3p | Hurricane - Live                                                                                        | 79.706  |
| 0tMSssfxAL2oV8Vri0mFHE | listen before i go                                                                                      | 79.764  |
| 1ptsownbhGmvBKmE7IMv3p | Sex Lies (feat. Lil Baby)                                                                               | 79.829  |
| 6KNNqqLaousABh4LeVhdJ9 | 2007                                                                                                    | 79.849  |
| 6otePxalBK8AVa20xhZYVQ | MIENTRAS ME CURO DEL CORA                                                                               | 79.921  |
| 0GKDhq6ZbmSbRHd3eyGlB7 | Vigilante Shit                                                                                          | 79.962  |
| 5pESnsywiVmqjgtlqCT7nw | Never Lose Me - Slowed                                                                                  | 79.969  |
| 3UiLY7hftHR1NrfHEsDZ21 | This Town                                                                                               | 79.977  |
| 6LoQHIo74tOzQ8EsLEkhgF | Come & Get It                                                                                           | 79.979  |
| 1ntusbeBPTG0OicSYm5a1e | Mood Everyday (Intro)                                                                                   | 79.991  |
| 5yeuXkukVGuix3vmLu2BPJ | Vigilante Shit                                                                                          | 79.996  |
| 2I2HYr4FLb6LPfdgcKxK2J | r.e.m - live                                                                                            | 80.042  |
| 1lNEXDlxVhsWaq2DLBUDgC | simple times                                                                                            | 80.043  |
| 4J8I1iX17piXYbzDwgP9Eh | Mine                                                                                                    | 80.055  |
| 4U4bI86Jynl9et1eXyEpz6 | Go Gina                                                                                                 | 80.176  |
| 6Vmow8PuUaU7W1T2WWLZk2 | Go Gina                                                                                                 | 80.176  |
| 4qksq0n5lAvp6dl9M3iXWU | Funny Seeing You Here                                                                                   | 80.422  |
| 0rzNMzZsubFcXSEh7dnem7 | Hold Up                                                                                                 | 80.744  |
| 1BlQWQgGP84r4GYUVty4Ar | Mess                                                                                                    | 80.848  |
| 2Zlw9b4RYv2jFxupJCEoN2 | SPIRIT - From Disney''s ''''The Lion King''''                                                           | 80.856  |
| 3rKJPQWSu5DG7dir4g0hRs | Honest                                                                                                  | 80.963  |
| 5NuSj7dx2yt34dDGqnSqvA | God Speed - Live                                                                                        | 80.964  |
| 076jPFqxYEu1me4zsTBWJ0 | Skrawberries (feat. BJ The Chicago Kid)                                                                 | 80.969  |
| 7Moee27EB8Qc4pNTzB870r | plastic palm trees                                                                                      | 81.024  |
| 0WC7CIZHwPXoFQEbJ721vT | 20 Something                                                                                            | 81.049  |
| 4h6ViRoztTBpWcJ1zFT9Zg | 20 Something                                                                                            | 81.049  |
| 53dtP2iUMvaF28JZcHnFuU | logical                                                                                                 | 81.051  |
| 4RVwu0g32PAqgUiJoXsdF8 | Happier Than Ever                                                                                       | 81.055  |
| 7eOuUmpnHBlg5zsm8Cs7c3 | Summertime''s Close                                                                                     | 81.098  |
| 1lGtn2Y4XarLIKdgoAeUdU | Don''t Give up on Me                                                                                    | 81.127  |
| 4yC3v03vIGfmV6Rag568mV | how many things                                                                                         | 81.174  |
| 5QlMftmj7rFwhHoClCQLTP | Homesick                                                                                                | 81.198  |
| 3itgPtXSu4I9mr2QD6yrzP | Holy Roller (feat. Sierra Ferrell)                                                                      | 81.202  |
| 0T65HuufjJegqkOMioaiQb | A Boy Like You                                                                                          | 81.212  |
| 4jTs7ny5eSRnKTzxdrFv5I | Smoking on my Ex Pack                                                                                   | 81.227  |
| 4lGyUTtz6c8lLKCxxK7yNN | Fado Pechincha (feat. Gaspar Varela) - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020 | 81.275  |
| 6NvlhDdVgFotNgPK30LM2T | how many things                                                                                         | 81.532  |
| 3j611OSMDlz3IYsJNGj0BY | Come as You Are                                                                                         | 81.538  |
| 15JRvf02KKGHKgC31jrpuh | Meh                                                                                                     | 81.541  |
| 4Y5jxApXAujFFloLlmEe9a | american dream - slowed down                                                                            | 81.7    |
| 7yqQNA3zo9oOIdWE0QEjIh | Beautiful Things - Sped Up                                                                              | 81.701  |
| 2zHXM9zkE3xp8bEqJxFqbE | Are You Sure (Hidden Track)                                                                             | 81.71   |
| 3sW3oSbzsfecv9XoUdGs7h | Enchanted (Taylor''s Version)                                                                           | 81.907  |
| 3PsHulD1zewglcTPcEPnlk | To Love Someone                                                                                         | 81.923  |
| 3Scolo2qkKcTNVI3GOsKAP | Daylight - Sped Up                                                                                      | 81.951  |
| 05sfXgnlb2OvrZ8Hw79GRg | Daylight - Sped Up                                                                                      | 81.954  |
| 4LRxmh62YHxSHL4hGLq0ln | Island                                                                                                  | 81.975  |
| 1SQbUQ8w21CxAhvkZvHN0u | Only Us                                                                                                 | 82.002  |
| 0wzCQjc8JRa39ej1TFkAFt | Endlessly                                                                                               | 82.016  |
| 2Co0IjcLTSHMtodwD4gzfg | I Bet on Losing Dogs                                                                                    | 82.048  |
| 0GC43uyv1rSUW0y9ODjq4u | Sweet DeAnn - Live                                                                                      | 82.105  |
| 4GHy77t3CBv9U4aHKs7rsp | Highway Boys - Live                                                                                     | 82.271  |
| 2UeLzlhYSfNUdHDqJTNoYV | 4Lifers                                                                                                 | 82.33   |
| 02Cp3VTUWNed8hr69BhKz6 | dark days                                                                                               | 82.343  |
| 00ZprREYIexO3pgJlPgPau | My Body''s Made of Crushed Little Stars                                                                 | 82.348  |
| 4U1VIrEIlSWenK57AL4gPK | Maybe - Live                                                                                            | 82.36   |
| 4NW3t9GA7CyBisyoROefUs | Love Life                                                                                               | 82.361  |
| 4FZOSDwALdWxcGcRbwXWJ8 | Tyrant (feat. Jorja Smith)                                                                              | 82.433  |
| 27Jko74ZSVY1kwt0vMY6Pu | opposite                                                                                                | 82.465  |
| 2pDyTMcoVT3d13jbbrpSrL | Late Night Nigga                                                                                        | 82.497  |
| 7GtcNS6xS2WyOZK6hy65UB | SkeeYee                                                                                                 | 82.503  |
| 7icwQvajsokotDfM3tefW6 | SkeeYee                                                                                                 | 82.549  |
| 3HAQ4fEd3opmo09LJIHOX2 | The Way - Spanglish Version (feat. Mac Miller)                                                          | 82.64   |
| 43zdsphuZLzwA9k4DJhU0I | when the party''s over                                                                                  | 82.642  |
| 1Onx2O64wzyA7ZzOsBBqBJ | The Way (feat. Mac Miller)                                                                              | 82.667  |
| 3FoUMLMVaGxhWEe1PICSWu | Never Be Me - Live                                                                                      | 82.802  |
| 2L1M0A9Rymjayfni3IKeJe | Snow - Live                                                                                             | 82.812  |
| 2H2l7zo9EqtqxFr8R8N8Zg | Can’t Punk Me (feat. EARTHGANG)                                                                         | 82.812  |
| 1i9lZvlaDdWDPyXEE95aiq | TELEKINESIS (feat. SZA & Future)                                                                        | 82.826  |
| 0pM91oR6zMZcepPBklxO8Q | Two Slow Dancers                                                                                        | 82.899  |
| 71CBDRKmF2VeRKYMG1DFBh | Bigger Than The Whole Sky                                                                               | 82.951  |
| 1YqPDOmooQQIXsRSdbRrwI | Bad Time                                                                                                | 82.964  |
| 3goYw6YHoCjA1sfBzpdgzH | CAROLINA                                                                                                | 82.982  |
| 5KI7I4mEtulXcv5VQJaV35 | just like me                                                                                            | 82.984  |
| 5SHpuW2qjkQtFRpE6P9Nks | The 30th                                                                                                | 82.987  |
| 2ORVHijyYA8bAOCVaIbmdS | Working for the Knife                                                                                   | 82.988  |
| 615XWyY2RPfk3iuYcU6qvi | CONTIGO VOY A MUERTE                                                                                    | 82.994  |
| 5BYts42mYfuullBbELoaEV | fake smile - live                                                                                       | 83.143  |
| 6dAdAlMK4HVAt3cdzHaHMj | Hopefully                                                                                               | 83.154  |
| 0bkV1iQHSxBaksUqgEkcbc | SKITZO (feat. Young Thug)                                                                               | 83.25   |
| 3wFLWP0FcIqHK1wb1CPthQ | fake smile                                                                                              | 83.3    |
| 67aaFVnfvFWjxVQMd0jDb5 | Smaller Acts                                                                                            | 83.308  |
| 0lboDHM9hSR5j5CFlWDR9k | NILE                                                                                                    | 83.493  |
| 1xUQwXDDKW79z7GRUt2vMW | Lame Niggaz                                                                                             | 83.498  |
| 4abXyBndn98651BwniqrNC | Doo Wop                                                                                                 | 83.571  |
| 6Wxx1jXr6EyGdt8RuYFzvj | Letting Someone Go                                                                                      | 83.607  |
| 3Wi8YXCocZljlPAINe0Vqe | I''m Sorry                                                                                              | 83.668  |
| 1OTXnoe2AGsDQ3Yp1vxI9s | follow me (simba & rafiki interlude)                                                                    | 83.69   |
| 4AcIVgQDyBdLtfJyho29Mj | Whiskey Fever                                                                                           | 83.695  |
| 2tUL6dZf1mywCj5WvCPZw6 | No Friends In The Industry                                                                              | 83.737  |
| 0DcBQ7dMhCMvk9t6L4XI7G | D/vision                                                                                                | 83.802  |
| 3lbSlSHXPFThany9iJxRrV | Lo Sabe Dios                                                                                            | 83.821  |
| 2gkVEnpahpE3bQuvGuCpAV | Yes or No                                                                                               | 83.845  |
| 2SnpJ9vYmSCyCeI8e2cLgK | letter to my brudda - nightcore version                                                                 | 83.9    |
| 3vZGtceCbJVh5aDT4XhE0p | 2AM                                                                                                     | 83.966  |
| 6836MXVvWlPL4RaSyBF8oR | telepatía                                                                                               | 83.97   |
| 6tDDoYIxWvMLTdKpjFkc1B | telepatía                                                                                               | 83.97   |
| 3drXiB4F47BpUqrEtj3rja | Viral                                                                                                   | 83.97   |
| 05oT810ZYgVg50Y6e64hi5 | No Me Queda Mas                                                                                         | 83.987  |
| 2pUYbyOIOSfDfsnCR3KceZ | Jake''s Piano - Long Island                                                                             | 84.001  |
| 5el1yANyqhFWsjLWGYpcTZ | OBVIO                                                                                                   | 84.053  |
| 2FNPJWVdGxYhWaotd6rULS | Sandcastles                                                                                             | 84.119  |
| 5BTu8L170anjdgSohdBkkv | Tried Our Best                                                                                          | 84.139  |
| 3IHt4j5uAEl7iBu8Utn985 | Tried Our Best                                                                                          | 84.139  |
| 78pZQ7aYRL6jHaQsFmoHs9 | NANA! - Interlude                                                                                       | 84.197  |
| 4c1RuddayQTE5dpURdynD5 | You Still Get to Me                                                                                     | 84.323  |
| 7aBxcRw77817BrkdPChAGY | Freedom (feat. Kendrick Lamar)                                                                          | 84.378  |
| 1j0lC0auZK1xIPRwSEb4Rb | Doing Fine                                                                                              | 84.418  |
| 6pMlgGUipcZdECNmH9UWe1 | Me and Mine                                                                                             | 84.432  |
| 7fd3aMiuwHWKsTdZafjOfZ | A Pearl                                                                                                 | 84.551  |
| 6YYYXqZT5Rr3r5QUgsQcu0 | Elisabeth                                                                                               | 84.646  |
| 0TyGh27YQ5LknmiDhCzJiT | You Are In Love (Taylor''s Version)                                                                     | 84.68   |
| 56feSEETtLwNjY5Xz8XbKI | break up with your girlfriend, i''m bored - live                                                        | 84.87   |
| 2zg4iqc1u4MIWzM567B8om | Stained Glass                                                                                           | 84.874  |
| 4qRDggr0zvrWI2Ttqew6Bv | see the real - slowed down                                                                              | 84.911  |
| 4UwqOWDpdeIDVQDuKT6iza | You Are In Love (Taylor''s Version)                                                                     | 84.948  |
| 3qefkziLSTq2l5H1bRoea8 | Skull And Bones                                                                                         | 85.0    |
| 5ngcqrs4Xq915GUqNtNNr5 | Young Blood                                                                                             | 85.002  |
